Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,527.003807712408,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,527.003807712408
t135,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,690.5520393448651,1476.0161077396674,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,2166.5681470845325
t136,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2109.6400128958817,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,2109.6400128958817
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.2753466458241,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1557.2753466458241
t138,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1008.0733023808665,-0.0,-0.0,374.94392978914016,128.18341212533366,-0.0,0.0,0.0,1511.2006442953402
t139,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,632.0523721795092,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,632.0523721795092
t140,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-257.8339515924413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-257.8339515924413
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-657.1671811211662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-657.1671811211662
t145,0.0,0.0,289.012404482498,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779.012404482498
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
