Constraint,CapRes_1,CapRes_2,CapRes_3
t62,0.0,-0.0,0.0
t63,0.0,-0.0,0.0
t64,0.0,0.0,0.0
t65,0.0,-0.0,0.0
t66,12.135629458077375,-0.0,0.0
t67,12.135629458077375,0.0,0.0
t68,12.135629458077375,0.0,0.0
t69,12.135629458077375,0.0,0.0
t70,12.135629458077375,0.0,0.0
t71,12.135629458077375,0.0,0.0
t72,12.135629458077375,0.0,0.0
t73,24.18033143533188,22.047335614338767,0.0
t74,24.18033143533188,22.047335614338767,5.1072436752288997e-17
t75,24.18033143533188,21.992059483116282,-3.1549496951234218e-15
t76,24.18033143533188,21.992059483116286,-0.0
t77,24.18033143533188,21.992059483116286,0.0
t78,24.18033143533188,22.047335614338774,-0.0
t79,24.18033143533188,22.047335614338778,-3.1549496951234218e-15
t80,34.69855615889505,22.047335614338767,2.456222694889328
t81,26.065518270197195,26.065518270197195,2.4562226948893304
t82,15.223922463317084,15.223922463317084,8.246721815036762
t83,15.223922463317084,15.223922463317084,2.296288926474979
t84,15.223922463317084,15.223922463317084,2.2962889264749777
t85,15.223922463317082,15.223922463317082,2.2962889264749786
t86,12.927633536842103,12.927633536842103,0.0
t87,15.223922463317084,15.223922463317084,2.2962889264749786
t88,15.223922463317084,15.223922463317084,2.2962889264749786
t89,15.223922463317084,15.223922463317084,2.296288926474974
t90,30.864733438918126,22.047335614338767,2.2962889264749777
t91,30.864733438918126,22.047335614338767,-1.927176764797318e-15
t92,30.864733438918126,22.04733561433876,-3.1549496951234218e-15
t93,30.86473343891812,22.04733561433876,-1.927176764797318e-15
t94,30.864733438918126,22.047335614338767,-1.8210126570517983e-15
t95,24.180331435331876,22.047335614338767,0.0
t96,24.18033143533188,22.047335614338767,-2.275329320183238e-15
t97,0.0,0.0,0.0
t98,0.0,0.0,0.0
t99,0.0,0.0,0.0
t100,0.0,0.0,0.0
t101,0.0,0.0,0.0
t102,0.0,0.0,0.0
t103,0.0,0.0,0.0
t104,0.8987183821408287,0.0,0.0
t105,0.0,-0.0,0.0
t106,-0.0,-0.0,0.0
t107,-0.0,0.0,0.0
t108,0.0,0.0,0.0
t109,0.0,-0.0,0.0
t110,0.0,-0.0,0.0
t111,0.0,-0.0,0.0
t112,0.0,-0.0,0.0
t113,0.0,-0.0,0.0
t114,0.6739992429968074,-0.0,0.0
t115,0.8987183821408287,0.9133965588298801,0.0
t116,0.8987183821408287,0.9133965588298801,0.0
t117,0.8987183821408287,0.9133965588298801,0.0
t118,0.8987183821408287,-0.0,0.0
t119,0.8987183821408287,-0.0,0.0
t120,0.8987183821408287,0.0,0.0
t121,0.0,0.0,0.0
t122,0.0,0.0,0.0
t123,0.0,0.0,0.0
t124,0.0,0.0,0.0
t125,0.0,0.0,0.0
t126,0.0,0.0,0.0
t127,0.0,-0.0,0.0
t128,0.0,-0.0,0.0
t129,0.0,-0.0,0.0
t130,0.0,0.0,0.0
t131,0.0,0.0,0.0
t132,0.0,0.0,0.0
t133,0.0,0.0,0.0
t134,0.0,0.0,0.0
t135,0.0,0.0,0.0
t136,0.0,0.0,0.0
t137,0.0,-0.0,0.0
t138,-0.0,-0.0,0.0
t139,12.249182600265982,-2.7197808067372256e-15,0.0
t140,12.343176859576847,3.480091592998905e-15,0.0
t141,12.37464985172939,-1.917758901968972e-15,0.0
t142,12.37464985172939,0.0,0.0
t143,12.343176859576845,0.0,0.0
t144,8.424129205496708,0.0,0.0
t145,0.0,0.0,0.0
t146,0.0,0.0,0.0
t147,0.0,0.0,0.0
t148,0.0,0.0,0.0
t149,0.0,0.0,0.0
t150,0.0,0.0,0.0
t151,0.0,0.0,0.0
t152,0.0,0.0,0.0
t153,0.0,0.0,0.0
t154,0.0,0.0,0.0
t155,0.0,0.0,0.0
t156,0.0,0.0,0.0
t157,0.0,0.0,0.0
t158,0.0,0.0,0.0
t159,0.0,0.0,0.0
t160,0.0,0.0,0.0
t161,0.0,0.0,0.0
t162,0.0,0.0,0.0
t163,-0.0,0.0046867638140304655,0.0
t164,0.3380692277446694,0.0046867638140304655,0.0
t165,-0.0,0.004686763814030496,0.0
